TargetPath,URL,TotalBytes,StartTime,EndTime,MimeType
C:\Users\Xphar\Downloads\download,http://gigapeta.com/dl/10444656a228145?welcome,20199987852,2023-05-30T19:48:15.689+03:00,1601-01-01T00:00:00+03:00,application/octet-stream
C:\Users\Xphar\Downloads\Wattpad Database Leaked June 2020.7z,http://gigapeta.com/dl/10444656a228145?welcome,20199987852,2023-05-30T12:13:58.651951+03:00,1601-01-01T00:00:00+03:00,application/octet-stream
C:\Users\Xphar\Downloads\2015mernis.7z,https://disk.yandex.com.tr/client/recent?idApp=client,4116761853,2023-04-12T14:09:06.482+03:00,2023-04-12T14:17:59.073+03:00,application/x-7z-compressed
C:\Users\Xphar\Downloads\tt.7z,https://mega.nz/file/DN133JLY#C6eLvl1_q6rWZWow1ANdYpiKC5NwDMrntGYh6j1hmTE,4116761853,2023-04-26T11:06:39.369522+03:00,2023-04-26T11:07:21.989697+03:00,application/x-7z-compressed
C:\Users\Xphar\Downloads\linkedin.txt_Pieces.zip,https://ddownload.com/is0b4ewo3dqh,2210252575,2023-05-04T07:38:10.487545+03:00,1601-01-01T00:00:00+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\linkedin.txt_Pieces (1).zip,https://mixdrop.to/f/3nrrg09wbmwkk4d,2210252575,2023-05-04T07:38:37.005672+03:00,2023-05-04T08:00:24.537768+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\SOHEXO Suriye Pasaport.rar,https://mega.nz/file/qthCDZ5Z#7ZqrRxYmofCsyRJyjYMq2aALksvHB0z9ZQ1IJv3Kt8s,698401208,2023-05-06T20:58:49.638615+03:00,2023-05-06T20:58:53.288277+03:00,application/octet-stream
C:\Users\Xphar\Downloads\Güncel Üye Listesi.rar,https://disk.yandex.com.tr/client/recent?idApp=client,338424667,2023-04-12T14:10:31.543+03:00,2023-04-12T14:11:26.665+03:00,application/x-rar
C:\Users\Xphar\Downloads\twitter.7z,https://www.upload-4ever.com/gwm3vnkj4zqk,292805543,2023-05-01T23:43:08.239193+03:00,2023-05-01T23:47:40.640742+03:00,application/octet-stream
C:\Users\Xphar\Downloads\burpsuite_community_windows-x64_v2023_3_5.exe,https://portswigger.net/burp/releases/professional-community-2023-3-5,257803232,2023-05-06T10:27:42.141231+03:00,2023-05-06T10:28:15.199083+03:00,application/x-msdownload
C:\Users\Xphar\Downloads\xampp-windows-x64-8.2.4-0-VS16-installer (2).exe,https://sourceforge.net/projects/xampp/files/latest/download,156078504,2023-04-20T12:38:38.800152+03:00,1601-01-01T00:00:00+03:00,application/x-msdownload
C:\Users\Xphar\Downloads\xampp-windows-x64-8.2.4-0-VS16-installer (2).exe,https://sourceforge.net/projects/xampp/files/XAMPP%20Windows/8.2.4/xampp-windows-x64-8.2.4-0-VS16-installer.exe/download,156078504,2023-04-20T13:04:59.650073+03:00,1601-01-01T00:00:00+03:00,application/x-msdownload
C:\Users\Xphar\Downloads\xampp-windows-x64-8.2.4-0-VS16-installer (1).exe,https://sourceforge.net/projects/xampp/files/XAMPP%20Windows/8.2.4/xampp-windows-x64-8.2.4-0-VS16-installer.exe/download,156078504,2023-04-20T12:36:37.421796+03:00,2023-04-20T12:38:48.919241+03:00,application/x-msdownload
