IsMeta,URL,Key,Value
false,,_c;;i,p:*|l:9007199254740991_3
false,,hsb;;1682975804166,"p:*|l:1_{""state"":null,""url"":""/search?q=hack4lx&oq=hack4lx&aqs=chrome..69i57.1720j0j4&sourceid=chrome&ie=UTF-8"",""metadata"":{""entryId"":1682975804165,""pushId"":1682975804166,""stackId"":1682975804167,""stackIndex"":0}}"
false,,hsb;;1682975804167,p:*|l:0_[1682975804166]
false,,sr;;1682975804166,"p:m|l:2_{""current"":{""xwa"":{""d"":0},""zub"":1682975804165},""last"":{""xwa"":{},""zub"":-1}}"
false,,,0
false,,,"{""data"":""false"",""creation"":1682975903553}"
false,,,"{""data"":""true"",""creation"":1682975903552}"
false,,,"{""data"":""1682976203088"",""creation"":1682975903088}"
false,,,"{""data"":""youtube-desktop"",""creation"":1682975903088}"
false,,,"{""data"":""Desktop"",""creation"":1682975903088}"
false,,_c;;i,p:*|l:9007199254740991_22
false,,hsb;;1683370842116,"p:*|l:1_{""state"":null,""url"":""/search?q=g4vucrl%2Bl%3Fobrlni-aDr&oq=g4vucrl%2Bl%3Fobrlni-aDr&aqs=chrome..69i57.717j0j4&sourceid=chrome&ie=UTF-8"",""metadata"":{""entryId"":1683370842115,""pushId"":1683370842116,""stackId"":1683370842117,""stackIndex"":0}}"
false,,hsb;;1683370842117,p:*|l:0_[1683370842116]
false,,hsb;;1683389100159,"p:*|l:4_{""state"":null,""url"":""/search?q=follina+github&ei=PXpWZLiUGtyVxc8Pqcq36AY&ved=0ahUKEwj4pu_ViOH-AhXcSvEDHSnlDW0Q4dUDCA8&uact=5&oq=follina+github&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIFCAAQgAQyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeOggIABCKBRCRAjoFCC4QgAQ6CwguEIAEEMcBENEDOg4ILhCKBRDHARDRAxCRAjoICC4QgAQQ1AI6BwgAEIoFEEM6CwguEIAEEMcBEK8BOg0IABCKBRCRAhBGEPkBOggIABAWEB4QCkoECEEYAVCRBljxO2CjPWgDcAB4AIABwQGIAZISkgEEMC4xNJgBAKABAcABAQ&sclient=gws-wiz-serp"",""metadata"":{""entryId"":1683389100158,""pushId"":1683389100159,""stackId"":1683389100160,""stackIndex"":0}}"
false,,hsb;;1683389100160,p:*|l:3_[1683389100159]
false,,sr;;1683370842116,"p:m|l:2_{""current"":{""Swa"":{""d"":0},""Qub"":1683388988231},""last"":{""Swa"":{},""Qub"":-1}}"
false,,sr;;1683389100159,"p:m|l:21_{""current"":{""Swa"":{""d"":160},""Qub"":1683393189108},""last"":{""Swa"":{""d"":0},""Qub"":1683393189107}}"
false,,,0
false,,_c;;i,p:*|l:9007199254740991_126
false,,hsb;;1683667978372,"p:*|l:1_{""state"":null,""url"":""/search?q=decrease+the+size+of+a+photo&oq=decrease+the+size+of+a+photo&aqs=chrome..69i57.10039j0j7&sourceid=chrome&ie=UTF-8"",""metadata"":{""entryId"":1683667978371,""pushId"":1683667978372,""stackId"":1683667978373,""stackIndex"":0}}"
false,,hsb;;1683667978373,p:*|l:0_[1683667978372]
false,,hsb;;1683668374178,"p:*|l:11_{""state"":null,""url"":""/search?q=create+vcard&oq=create+v&aqs=chrome.0.69i59j69i57j69i60l3.1591j0j4&sourceid=chrome&ie=UTF-8"",""metadata"":{""entryId"":1683668374177,""pushId"":1683668374178,""stackId"":1683668374179,""stackIndex"":0}}"
false,,hsb;;1683668374179,p:*|l:10_[1683668374178]
false,,sr;;1683667978372,"p:m|l:9_{""current"":{""Swa"":{""d"":80},""Qub"":1683667978371},""last"":{""Swa"":{},""Qub"":-1}}"
false,,sr;;1683668374178,"p:m|l:125_{""current"":{""Swa"":{""d"":1840},""Qub"":1683668374177},""last"":{""Swa"":{},""Qub"":-1}}"
