ID,Name,Type,URL,DateAdded
17,History,url,place:type=3&sort=4,2020-09-18T15:56:07+03:00
23,,url,place:folder=UNFILED_BOOKMARKS,2020-09-18T15:56:07+03:00
22,,url,place:folder=BOOKMARKS_MENU,2020-09-18T15:56:07+03:00
21,,url,place:folder=TOOLBAR,2020-09-18T15:56:07+03:00
19,Tags,url,place:type=6&sort=1,2020-09-18T15:56:07+03:00
18,Downloads,url,place:transition=7&sort=4,2020-09-18T15:56:07+03:00
11,Get Involved,url,https://www.mozilla.org/en-US/contribute/,2020-09-16T14:03:30+03:00
14,Recent Tags,url,place:type=6&sort=14&maxResults=10,2020-09-16T14:03:30+03:00
13,Most Visited,url,place:sort=8&maxResults=10,2020-09-16T14:03:30+03:00
12,About Us,url,https://www.mozilla.org/en-US/about/,2020-09-16T14:03:30+03:00
7,Getting Started,url,https://www.mozilla.org/en-US/firefox/central/,2020-09-16T14:03:30+03:00
10,Customize Firefox,url,https://www.mozilla.org/en-US/firefox/customize/,2020-09-16T14:03:30+03:00
9,Help and Tutorials,url,https://www.mozilla.org/en-US/firefox/help/,2020-09-16T14:03:30+03:00
